url,Title,Title_link,Authors,Authors_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Author Gender,Author Birth Country,Author Birth Continent
https://swordandlaser.fandom.com/wiki/Book_List,"Frankenstein, or the Modern Prometheus","https://swordandlaser.fandom.com/wiki/Frankenstein,_or_the_Modern_Prometheus",Mary Wollstonecraft Shelley,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,Public Domain,18-Jan,Jan,2018,104,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1818,Tom,Female,United Kingdom,Europe
https://swordandlaser.fandom.com/wiki/Book_List,California Bones,https://swordandlaser.fandom.com/wiki/California_Bones,Greg van Eekhout,https://www.goodreads.com/author/show/1957584.Greg_Van_Eekhout,Tor Books,17-Dec,Dec,2017,103,https://swordandlaser.fandom.com/wiki/Book_List,May,2014,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Doomsday Book,https://swordandlaser.fandom.com/wiki/Doomsday_Book,Connie Willis,https://www.goodreads.com/author/show/14032.Connie_Willis,Bantam Spectra,17-Nov,Nov,2017,102,https://swordandlaser.fandom.com/wiki/Book_List,Jun,1992,Poll,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Strange Case of the Alchemist's Daughter,https://swordandlaser.fandom.com/wiki/The_Strange_Case_of_the_Alchemist%27s_Daughter,Theodora Goss,https://www.goodreads.com/author/show/11890.Theodora_Goss,Saga Press,17-Oct,Oct,2017,101,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2017,Veronica,Female,Hungary,Europe
https://swordandlaser.fandom.com/wiki/Book_List,Helliconia Spring,https://swordandlaser.fandom.com/wiki/Helliconia_Spring,Brian Aldiss,https://www.goodreads.com/author/show/33297.Brian_W_Aldiss,iBooks,17-Sep,Sep,2017,100,https://swordandlaser.fandom.com/wiki/Book_List,,1982,Tom & Veronica,Male,United Kingdom,Europe
https://swordandlaser.fandom.com/wiki/Book_List,The Gunslinger,https://swordandlaser.fandom.com/wiki/The_Gunslinger,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,Grant,17-Aug,Aug,2017,99,https://swordandlaser.fandom.com/wiki/Book_List,Jun,1982,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Left Hand of Darkness,https://swordandlaser.fandom.com/wiki/The_Left_Hand_of_Darkness,Ursula K. Le Guin,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,Ace Books,17-Jul,Jul,2017,98,https://swordandlaser.fandom.com/wiki/Book_List,,1969,Poll,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Hum and the Shiver,https://swordandlaser.fandom.com/wiki/The_Hum_and_the_Shiver,Alex Bledsoe,https://www.goodreads.com/author/show/644349.Alex_Bledsoe,Tor Books,17-Jun,Jun,2017,97,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2011,Tom & Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,"The Long Way to a Small, Angry Planet","https://swordandlaser.fandom.com/wiki/The_Long_Way_to_a_Small,_Angry_Planet",Becky Chambers,https://www.goodreads.com/author/show/8389735.Becky_Chambers,Harper Voyager,17-May,May,2017,96,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2014,Tom,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Invisible Library,https://swordandlaser.fandom.com/wiki/The_Invisible_Library,Genevieve Cogman,https://www.goodreads.com/author/show/119888.Genevieve_Cogman,Ace Books,Apr '17,Apr,2017,95,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2015,March Madness,Female,United Kingdom,Europe
